IP Address,Timestamp,HTTP Method,Request Path,Status Code,Response Size,Referrer,User Agent,Request Length,Query Parameters Count,Is Secure,Time of Day,Day of Week,User-Agent Length,Referrer Length,Status Code Category,Request Frequency,Status Code Distribution,Request Size Distribution,User-Agent Diversity,Time Interval Between Requests,Path Frequency,Suspicious Patterns
172.18.28.9,2024-09-10T07:21:19+05:30,GET,/socket.io/?EIO=4&transport=polling&t=P7PeX7P&sid=wTRIhKhxZ223XvhrAAyX,499,0,http://localhost/,"Mozilla/5.0 (Linux; Android 12; RMX3092 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/128.0.6613.127 Mobile Safari/537.36",320,4,No,07:21:19,Tuesday,160,17,4xx,7681,"defaultdict(<class 'int'>, {'200': 7264, '400': 343, '499': 70, '304': 4})",1735.8656424944668,66,0:00:03.446094,1,No
172.18.28.9,2024-09-10T07:21:19+05:30,GET,/socket.io/?EIO=4&transport=polling&t=P7PeX7N&sid=-0kwLHtDYYxlyL-_AAyW,499,0,http://localhost/,"Mozilla/5.0 (Linux; Android 12; RMX3092 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/128.0.6613.127 Mobile Safari/537.36",320,4,No,07:21:19,Tuesday,160,17,4xx,7682,"defaultdict(<class 'int'>, {'200': 7264, '400': 343, '499': 71, '304': 4})",1735.6396771674042,66,0:00:03.445645,1,No
172.18.28.9,2024-09-10T07:21:19+05:30,GET,/socket.io/?EIO=4&transport=polling&t=P7PeX7Q&sid=7AmHNk3qUhT6nfaFAAyY,499,0,http://localhost/,"Mozilla/5.0 (Linux; Android 12; RMX3092 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/128.0.6613.127 Mobile Safari/537.36",320,4,No,07:21:19,Tuesday,160,17,4xx,7683,"defaultdict(<class 'int'>, {'200': 7264, '400': 343, '499': 72, '304': 4})",1735.4137706625015,66,0:00:03.445197,1,No
172.18.28.9,2024-09-10T07:21:33+05:30,GET,/socket.io/?EIO=4&transport=polling&t=P7PeVdM.0&sid=44Y4rqAR4cd9GA1qAArF,200,1,https://ss.dmrc.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",276,4,No,07:21:33,Tuesday,111,20,2xx,7684,"defaultdict(<class 'int'>, {'200': 7265, '400': 343, '499': 72, '304': 4})",1735.1880530973451,66,0:00:03.446570,1,No
172.18.28.9,2024-09-10T07:21:33+05:30,POST,/socket.io/?EIO=4&transport=polling&t=P7Pebkt&sid=44Y4rqAR4cd9GA1qAArF,200,2,https://ss.dmrc.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",275,4,No,07:21:33,Tuesday,111,20,2xx,7685,"defaultdict(<class 'int'>, {'200': 7266, '400': 343, '499': 72, '304': 4})",1734.9625243981782,66,0:00:03.446122,1,No
172.18.28.9,2024-09-10T07:21:58+05:30,GET,/socket.io/?EIO=4&transport=polling&t=P7Pebku&sid=44Y4rqAR4cd9GA1qAArF,200,1,https://ss.dmrc.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",274,4,No,07:21:58,Tuesday,111,20,2xx,7686,"defaultdict(<class 'int'>, {'200': 7267, '400': 343, '499': 72, '304': 4})",1734.736924277908,66,0:00:03.448926,1,No
172.18.28.9,2024-09-10T07:21:58+05:30,POST,/socket.io/?EIO=4&transport=polling&t=P7PehsK&sid=44Y4rqAR4cd9GA1qAArF,200,2,https://ss.dmrc.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",275,4,No,07:21:58,Tuesday,111,20,2xx,7687,"defaultdict(<class 'int'>, {'200': 7268, '400': 343, '499': 72, '304': 4})",1734.5115129439314,66,0:00:03.448478,1,No
172.18.28.9,2024-09-10T07:22:23+05:30,GET,/socket.io/?EIO=4&transport=polling&t=P7PehsK.0&sid=44Y4rqAR4cd9GA1qAArF,200,1,https://ss.dmrc.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",276,4,No,07:22:23,Tuesday,111,20,2xx,7688,"defaultdict(<class 'int'>, {'200': 7269, '400': 343, '499': 72, '304': 4})",1734.286030176899,66,0:00:03.451281,1,No
172.18.28.9,2024-09-10T07:22:23+05:30,POST,/socket.io/?EIO=4&transport=polling&t=P7Peo0S&sid=44Y4rqAR4cd9GA1qAArF,200,2,https://ss.dmrc.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",275,4,No,07:22:23,Tuesday,111,20,2xx,7689,"defaultdict(<class 'int'>, {'200': 7270, '400': 343, '499': 72, '304': 4})",1734.06073611653,66,0:00:03.450832,1,No
172.18.28.9,2024-09-10T07:22:48+05:30,GET,/socket.io/?EIO=4&transport=polling&t=P7Peo0S.0&sid=44Y4rqAR4cd9GA1qAArF,200,1,https://ss.dmrc.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",276,4,No,07:22:48,Tuesday,111,20,2xx,7690,"defaultdict(<class 'int'>, {'200': 7271, '400': 343, '499': 72, '304': 4})",1733.8353706111834,66,0:00:03.453635,1,No
172.18.28.9,2024-09-10T07:22:48+05:30,POST,/socket.io/?EIO=4&transport=polling&t=P7Peu8L&sid=44Y4rqAR4cd9GA1qAArF,200,2,https://ss.dmrc.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",275,4,No,07:22:48,Tuesday,111,20,2xx,7691,"defaultdict(<class 'int'>, {'200': 7272, '400': 343, '499': 72, '304': 4})",1733.6101937329347,66,0:00:03.453186,1,No
172.18.28.9,2024-09-10T07:23:13+05:30,GET,/socket.io/?EIO=4&transport=polling&t=P7Peu8L.0&sid=44Y4rqAR4cd9GA1qAArF,200,1,https://ss.dmrc.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",276,4,No,07:23:13,Tuesday,111,20,2xx,7692,"defaultdict(<class 'int'>, {'200': 7273, '400': 343, '499': 72, '304': 4})",1733.384945397816,66,0:00:03.455988,1,No
172.18.28.9,2024-09-10T07:23:14+05:30,POST,/socket.io/?EIO=4&transport=polling&t=P7Pe-FY&sid=44Y4rqAR4cd9GA1qAArF,200,2,https://ss.dmrc.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",275,4,No,07:23:14,Tuesday,111,20,2xx,7693,"defaultdict(<class 'int'>, {'200': 7274, '400': 343, '499': 72, '304': 4})",1733.159885610295,66,0:00:03.455668,1,No
172.18.28.9,2024-09-10T07:23:39+05:30,GET,/socket.io/?EIO=4&transport=polling&t=P7Pe-FZ&sid=44Y4rqAR4cd9GA1qAArF,200,1,https://ss.dmrc.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",274,4,No,07:23:39,Tuesday,111,20,2xx,7694,"defaultdict(<class 'int'>, {'200': 7275, '400': 343, '499': 72, '304': 4})",1732.934754354042,66,0:00:03.458469,1,No
172.18.28.9,2024-09-10T07:23:39+05:30,POST,/socket.io/?EIO=4&transport=polling&t=P7Pf4N2&sid=44Y4rqAR4cd9GA1qAArF,200,2,https://ss.dmrc.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",275,4,No,07:23:39,Tuesday,111,20,2xx,7695,"defaultdict(<class 'int'>, {'200': 7276, '400': 343, '499': 72, '304': 4})",1732.709811565952,66,0:00:03.458019,1,No
172.18.28.9,2024-09-10T07:24:04+05:30,GET,/socket.io/?EIO=4&transport=polling&t=P7Pf4N3&sid=44Y4rqAR4cd9GA1qAArF,200,1,https://ss.dmrc.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",274,4,No,07:24:04,Tuesday,111,20,2xx,7696,"defaultdict(<class 'int'>, {'200': 7277, '400': 343, '499': 72, '304': 4})",1732.4847972972973,66,0:00:03.460819,1,No
172.18.28.9,2024-09-10T07:24:04+05:30,POST,/socket.io/?EIO=4&transport=polling&t=P7PfAUL&sid=44Y4rqAR4cd9GA1qAArF,200,2,https://ss.dmrc.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",275,4,No,07:24:04,Tuesday,111,20,2xx,7697,"defaultdict(<class 'int'>, {'200': 7278, '400': 343, '499': 72, '304': 4})",1732.2599714174353,66,0:00:03.460369,1,No
